file,field,description,units,data_type,missing_values
data/bootstrap/p02_l026_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p02_l026_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p02_l026_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p02_l026_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p02_l049_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p02_l049_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p02_l049_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p02_l049_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p02_l049_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p02_l100_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p02_l100_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p02_l100_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p02_l100_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p02_l100_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p03_l010_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p03_l010_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p03_l010_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p03_l010_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p03_l010_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p03_l049_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p03_l049_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p03_l049_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p03_l049_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p03_l049_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p03_l100_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p03_l100_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p03_l100_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p03_l100_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p03_l100_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p03_l200_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p03_l200_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p03_l200_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p03_l200_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p03_l200_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p04_l010_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p04_l010_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p04_l010_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p04_l010_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p04_l010_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p04_l049_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p04_l049_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p04_l049_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p04_l049_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p04_l049_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p04_l100_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p04_l100_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p04_l100_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p04_l100_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p04_l100_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p04_l200_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p04_l200_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p04_l200_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p04_l200_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p04_l200_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/processed/condition_summary.csv,condition_id,"Public condition ID Pnn_Llll, with archived luminance label lll.",not applicable,string,Blank means unavailable; not zero
data/processed/condition_summary.csv,participant_id,Public participant ID P01–P04; equals thesis Subject 1–4.,not applicable,string,Blank means unavailable; not zero
data/processed/condition_summary.csv,luminance_label_cd_m2,Archived luminance label; precise and discrepant thesis values are separate in conditions.json.,cd m^-2,number,Blank means unavailable; not zero
data/processed/condition_summary.csv,included_in_thesis_main_isf,"True for Subjects 1, 2 and 4; False for diagnostic Subject 3.",boolean,boolean,Blank means unavailable; not zero
data/processed/condition_summary.csv,recorded_staircases,Total reconstructed staircases in selected condition.,count,integer,Blank means unavailable; not zero
data/processed/condition_summary.csv,included_staircases,Number included or excluded under the candidate reproducing saved input zero.,count,integer,Blank means unavailable; not zero
data/processed/condition_summary.csv,excluded_staircases,Number included or excluded under the candidate reproducing saved input zero.,count,integer,Blank means unavailable; not zero
data/processed/condition_summary.csv,profile_positions,Number of distinct recorded signed positions in this condition.,count,integer,Blank means unavailable; not zero
data/processed/condition_summary.csv,accepted_rows,"Number of saved rows passing inclusive RA FMS screen [0.8, 1.0].",count,integer,Blank means unavailable; not zero
data/processed/condition_summary.csv,retained_endpoint_modes,Number of candidate modes passing the endpoint display rule.,count,integer,Blank means unavailable; not zero
data/processed/fit_retention.csv,condition_id,"Public condition ID Pnn_Llll, with archived luminance label lll.",not applicable,string,Blank means unavailable; not zero
data/processed/fit_retention.csv,participant_id,Public participant ID P01–P04; equals thesis Subject 1–4.,not applicable,string,Blank means unavailable; not zero
data/processed/fit_retention.csv,luminance_label_cd_m2,Archived luminance label; precise and discrepant thesis values are separate in conditions.json.,cd m^-2,number,Blank means unavailable; not zero
data/processed/fit_retention.csv,saved_rows,"Number of original fit rows, regardless of FMS screen.",count,integer,Blank means unavailable; not zero
data/processed/fit_retention.csv,accepted_rows,"Number of saved rows passing inclusive RA FMS screen [0.8, 1.0].",count,integer,Blank means unavailable; not zero
data/processed/fit_retention.csv,thesis_accepted_rows,Expected accepted count transcribed from thesis Tables 4.1 or 5.1.,count,integer,Blank means unavailable; not zero
data/processed/fit_retention.csv,counts_match,Whether computed accepted count equals the thesis count.,boolean,boolean,Blank means unavailable; not zero
data/processed/fit_retention.csv,included_in_thesis_main_isf,"True for Subjects 1, 2 and 4; False for diagnostic Subject 3.",boolean,boolean,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,condition_id,"Public condition ID Pnn_Llll, with archived luminance label lll.",not applicable,string,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,participant_id,Public participant ID P01–P04; equals thesis Subject 1–4.,not applicable,string,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,luminance_label_cd_m2,Archived luminance label; precise and discrepant thesis values are separate in conditions.json.,cd m^-2,number,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,included_in_thesis_main_isf,"True for Subjects 1, 2 and 4; False for diagnostic Subject 3.",boolean,boolean,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,endpoint_status,Retained descriptive mode or explicit absence of a mode passing the display rule.,not applicable,string,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,candidate_mode,Candidate interval ordinal in increasing frequency; not necessarily retained for display.,one-based candidate identifier; 0 for fixed-sample audit,integer,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,isf_estimate_cpd,Median of saved accepted RA frequencies in the retained candidate interval; not the spline peak.,cycles degree^-1,number,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,isf_lower_cpd,0.5th or 99.5th percentile of saved RA frequencies in retained candidate interval.,cycles degree^-1,number,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,isf_upper_cpd,0.5th or 99.5th percentile of saved RA frequencies in retained candidate interval.,cycles degree^-1,number,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,error_minus_cpd,Median minus lower endpoint; nonnegative lower error-bar length.,cycles degree^-1,number,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,error_plus_cpd,Upper endpoint minus median; nonnegative upper error-bar length.,cycles degree^-1,number,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,accepted_rows,"Number of saved rows passing inclusive RA FMS screen [0.8, 1.0].",count,integer,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,cluster_count,"Number of accepted frequencies inside inclusive candidate interval, before KDE-mass display screening.",count,integer,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,dominant_retained_mode,Whether this retained candidate has the largest integrated KDE mass in its condition and variant.,boolean,boolean,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,interval_definition,"Definition of descriptive error bars; estimator-stability range, not population CI.",not applicable,string,Blank means unavailable; not zero
data/processed/isf_endpoints.csv,peak_locator,Algorithm actually used: source_histogram_spline or recorded median_fallback.,not applicable,string,Blank means unavailable; not zero
data/processed/isf_kde.csv,condition_id,"Public condition ID Pnn_Llll, with archived luminance label lll.",not applicable,string,Blank means unavailable; not zero
data/processed/isf_kde.csv,frequency_cpd,Evaluation position of the accepted-frequency Gaussian KDE.,cycles degree^-1,number,Blank means unavailable; not zero
data/processed/isf_kde.csv,density_per_cpd,"Probability density from Gaussian KDE, Scott bandwidth x1.0.",1 / (cycles degree^-1),number,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,condition_id,"Public condition ID Pnn_Llll, with archived luminance label lll.",not applicable,string,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,variant,thesis_percentiles = 0.5–99.5; current_driver_percentiles = 2.5–97.5. Both use the supplied histogram-spline locator.,not applicable,string,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,candidate_mode,Candidate interval ordinal in increasing frequency; not necessarily retained for display.,one-based candidate identifier; 0 for fixed-sample audit,integer,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,peak_locator,Algorithm actually used: source_histogram_spline or recorded median_fallback.,not applicable,string,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,interval_low_cpd,Lower or upper boundary returned for the candidate interval by author helper.,cycles degree^-1,number,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,spline_peak_cpd,Candidate peak location on the smoothed histogram spline; not a KDE maximum or cluster median.,cycles degree^-1,number,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,interval_high_cpd,Lower or upper boundary returned for the candidate interval by author helper.,cycles degree^-1,number,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,cluster_count,"Number of accepted frequencies inside inclusive candidate interval, before KDE-mass display screening.",count,integer,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,cluster_fraction_of_accepted,Candidate count divided by all accepted fits for condition.,fraction,number,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,percentile_low,Percentile endpoints used within the candidate cluster.,percentile (0–100),number,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,percentile_high,Percentile endpoints used within the candidate cluster.,percentile (0–100),number,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,quantile_low_cpd,"Within-candidate frequency percentile endpoint; estimator-stability range, not population CI.",cycles degree^-1,number,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,median_cpd,Median frequency among fits in the candidate interval.,cycles degree^-1,number,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,quantile_high_cpd,"Within-candidate frequency percentile endpoint; estimator-stability range, not population CI.",cycles degree^-1,number,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,kde_mass,Integrated overall accepted-frequency KDE between the candidate percentile endpoints; Simpson integration on recorded grid.,probability mass,number,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,retained_for_display,Passes KDE mass >=0.10 and ranks among at most two largest qualifying masses.,boolean,boolean,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,representative_input_index_row_linked,"Index of maximum saved RA FMS in candidate interval, assumed to link to original input.",zero-based index; historical linkage unverified,integer,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,representative_input_index_source_code,Assumed input index selected by replay of supplied plotting function indexing/fallback.,zero-based index; historical linkage unverified,integer,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,representative_selection_agrees,Whether source plotting indexing and row-linked max-FMS selection choose the same assumed input.,boolean,boolean,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,representative_saved_fms,Saved RA FMS of the row-linked maximum-FMS candidate.,dimensionless,number,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,included_in_thesis_main_isf,"True for Subjects 1, 2 and 4; False for diagnostic Subject 3.",boolean,boolean,Blank means unavailable; not zero
data/processed/isf_mode_summaries.csv,dominant_retained_mode,Whether this retained candidate has the largest integrated KDE mass in its condition and variant.,boolean,boolean,Blank means unavailable; not zero
data/processed/lateral_profiles_recomputed.csv,condition_id,"Public condition ID Pnn_Llll, with archived luminance label lll.",not applicable,string,Blank means unavailable; not zero
data/processed/lateral_profiles_recomputed.csv,exclusion_candidate,Named candidate exclusion set used for comparison or selected baseline reproduction.,not applicable,string,Blank means unavailable; not zero
data/processed/lateral_profiles_recomputed.csv,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/processed/lateral_profiles_recomputed.csv,distance_from_flanker_edge_deg,Translated coordinate probe_position_deg + 0.5.,degree of visual angle,number,Blank means unavailable; not zero
data/processed/lateral_profiles_recomputed.csv,base_threshold,Arithmetic mean of included base-staircase thresholds; each threshold is the geometric mean of last five reversals.,normalized digital contrast,number,Blank means unavailable; not zero
data/processed/lateral_profiles_recomputed.csv,flanker_threshold,Arithmetic mean of included flanker-staircase thresholds; each threshold is the geometric mean of last five reversals.,normalized digital contrast,number,Blank means unavailable; not zero
data/processed/lateral_profiles_recomputed.csv,base_sensitivity,Reciprocal of the mean base threshold.,1 / normalized digital contrast,number,Blank means unavailable; not zero
data/processed/lateral_profiles_recomputed.csv,flanker_sensitivity,Reciprocal of the mean flanker threshold.,1 / normalized digital contrast,number,Blank means unavailable; not zero
data/processed/lateral_profiles_recomputed.csv,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/processed/lateral_profiles_recomputed.csv,spread,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/processed/lateral_profiles_recomputed.csv,base_staircases,Number of included staircases at this position for the named condition.,count,integer,Blank means unavailable; not zero
data/processed/lateral_profiles_recomputed.csv,flanker_staircases,Number of included staircases at this position for the named condition.,count,integer,Blank means unavailable; not zero
data/processed/mode_assignments.csv.gz,condition_id,"Public condition ID Pnn_Llll, with archived luminance label lll.",not applicable,string,Blank means unavailable; not zero
data/processed/mode_assignments.csv.gz,saved_fit_row,Row number in original saved fit matrix; this alone does not establish input identity.,one-based index,integer,Blank means unavailable; not zero
data/processed/mode_assignments.csv.gz,assumed_input_index,"Saved fit row minus one, used only as an explicit unverified historical row-to-input assumption.",zero-based index,integer,Blank means unavailable; not zero
data/processed/mode_assignments.csv.gz,f_n_ra_cpd,Saved intrinsic spatial frequency for residual-analysis alternative. Interpreted from source layout.,cycles degree^-1,number,Blank means unavailable; not zero
data/processed/mode_assignments.csv.gz,candidate_modes,Semicolon-separated candidate interval IDs containing the accepted frequency; blank means unassigned to candidates.,candidate identifiers,string,Blank means accepted frequency lies outside returned candidate intervals
data/processed/p01_l010_saved_fits.csv.gz,condition_id,"Public condition ID Pnn_Llll, with archived luminance label lll.",not applicable,string,Blank means unavailable; not zero
data/processed/p01_l010_saved_fits.csv.gz,saved_fit_row,Row number in original saved fit matrix; this alone does not establish input identity.,one-based index,integer,Blank means unavailable; not zero
data/processed/p01_l010_saved_fits.csv.gz,fms_ra,Saved amplitude-spectrum frequency-match score for residual-analysis alternative. Interpreted from source layout; historical writer not version-matched.,dimensionless,number,Blank means unavailable; not zero
data/processed/p01_l010_saved_fits.csv.gz,fms_lof,Saved amplitude-spectrum frequency-match score for local-outlier-factor alternative. Interpreted from source layout; historical writer not version-matched.,dimensionless,number,Blank means unavailable; not zero
data/processed/p01_l010_saved_fits.csv.gz,fms_ransac,Saved amplitude-spectrum frequency-match score for RANSAC alternative. Interpreted from source layout; historical writer not version-matched.,dimensionless,number,Blank means unavailable; not zero
data/processed/p01_l010_saved_fits.csv.gz,phase_consistency_ra,Saved phase-consistency diagnostic for residual-analysis alternative; historical formula/version not independently certified.,recorded score; exact scale not certified,number,Blank means unavailable; not zero
data/processed/p01_l010_saved_fits.csv.gz,phase_consistency_lof,Saved phase-consistency diagnostic for local-outlier-factor alternative; historical formula/version not independently certified.,recorded score; exact scale not certified,number,Blank means unavailable; not zero
data/processed/p01_l010_saved_fits.csv.gz,phase_consistency_ransac,Saved phase-consistency diagnostic for RANSAC alternative; historical formula/version not independently certified.,recorded score; exact scale not certified,number,Blank means unavailable; not zero
data/processed/p01_l010_saved_fits.csv.gz,tolerance_fraction_ra,Saved within-tolerance fraction for residual-analysis alternative; historical tolerance/version not independently certified.,recorded fraction,number,Blank means unavailable; not zero
data/processed/p01_l010_saved_fits.csv.gz,tolerance_fraction_lof,Saved within-tolerance fraction for local-outlier-factor alternative; historical tolerance/version not independently certified.,recorded fraction,number,Blank means unavailable; not zero
data/processed/p01_l010_saved_fits.csv.gz,tolerance_fraction_ransac,Saved within-tolerance fraction for RANSAC alternative; historical tolerance/version not independently certified.,recorded fraction,number,Blank means unavailable; not zero
data/processed/p01_l010_saved_fits.csv.gz,f_n_ra_cpd,Saved intrinsic spatial frequency for residual-analysis alternative. Interpreted from source layout.,cycles degree^-1,number,Blank means unavailable; not zero
data/processed/p01_l010_saved_fits.csv.gz,f_n_lof_cpd,Saved intrinsic spatial frequency for local-outlier-factor alternative. Interpreted from source layout.,cycles degree^-1,number,Blank means unavailable; not zero
